,Link,Name,Price,Color,Description
0,,,,,
1,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701090/,2021 Ford Escape,"$43,999 ",Black,Titanium Hybrid
2,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701072/,2021 Ford Escape,"$43,649 ",White,Titanium Hybrid
3,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-explorer-6701069/,2021 Ford Explorer,"$58,999 ",White,LIMITED
4,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700598/,2021 Lexus UX,"$51,145 ",Silver,250H
5,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700595/,2021 Lexus UX,"$47,645 ",Green,250H
6,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ford-escape-6700430/,2021 Ford Escape,"$45,449 ",Red,Titanium Hybrid
7,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2020-hyundai-ioniq-hybrid-6700403/,2020 Hyundai Ioniq Hybrid,"$27,439 ",Red,ESSENTIAL
8,https://www.carpages.ca/used-cars/ontario/beamsville/2017-chevrolet-volt-6700340/,2017 Chevrolet Volt,"$17,995 ",Blue,Premier
9,https://www.carpages.ca/used-cars/ontario/beamsville/2017-hyundai-ioniq-6700322/,2017 Hyundai IONIQ,"$19,995 ",White,Limited
10,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-volt-6700313/,2019 Chevrolet Volt,"$28,995 ",Silver,LT
11,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-bolt-6700310/,2019 Chevrolet Bolt,"$33,995 ",Green,LT
12,https://www.carpages.ca/used-cars/ontario/bolton/2016-toyota-camry-6700274/,2016 Toyota Camry,"$16,499 ",Burgundy,Hybrid SE|Heated seats|Camera|Power leather seats|
13,https://www.carpages.ca/used-cars/british-columbia/surrey/2014-nissan-leaf-6699332/,2014 Nissan Leaf,"$13,995 ",Red,"S, accident free"
14,https://www.carpages.ca/used-cars/ontario/harriston/2017-ford-c-max-6699155/,2017 Ford C-MAX,"$16,500 ",Gold,SE
15,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-f-150-6699125/,2021 Ford F-150,"$95,024 ",Star White Tri-Coat,Limited  - Leather Seats
16,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-escape-6699122/,2021 Ford Escape,"$42,548 ",Carbonized Grey Metallic,SEL Hybrid AWD
17,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ram-1500-6698972/,2021 RAM 1500,"$90,372 ",Ivory Tri-Coat Pearl,Longhorn  - Sunroof
18,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-rs-7-6698876/,2021 Audi RS 7,"$150,722 ",Nardo Gray,Audi Winnipeg
19,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698873/,2021 Audi Q5,"$68,717 ",Ibis White,Technik
20,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698870/,2021 Audi Q5,"$64,157 ",Florett Silver Metallic,Technik
21,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698867/,2021 Audi Q5,"$69,607 ",Mythos Black Metallic,Technik
22,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698864/,2021 Audi Q5,"$70,057 ",Glacier White Metallic,Technik
23,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698861/,2021 Audi Q5,"$69,607 ",Mythos Black Metallic,Technik
24,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698855/,2021 Audi Q5,"$70,057 ",Mythos Black Metallic,Technik
25,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698852/,2021 Audi Q5,"$68,957 ",Daytona Gray Pearl,Technik
26,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698846/,2021 Audi Q5,"$64,157 ",Glacier White Metallic,Technik
27,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698843/,2021 Audi Q5,"$69,007 ",Mythos Black Metallic,Technik
28,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698840/,2021 Audi Q5,"$70,807 ",Mythos Black Metallic,Technik
29,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698837/,2021 Audi Q5,"$69,607 ",Florett Silver Metallic,Technik
30,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698834/,2021 Audi Q5,"$60,707 ",Glacier White Metallic,PROGRESSIV
31,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698831/,2021 Audi Q5,"$61,807 ",Florett Silver Metallic,PROGRESSIV
32,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698828/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
33,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698825/,2021 Audi Q5,"$63,057 ",Navarra Blue Metallic,PROGRESSIV
34,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698822/,2021 Audi Q5,"$68,717 ",Ibis White,Technik
35,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698819/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
36,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698816/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
37,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698813/,2021 Audi Q7,"$83,422 ",Glacier White Metallic,PROGRESSIV
38,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q8-6698810/,2021 Audi Q8,"$99,222 ",Florett Silver Metallic,TECHNIK
39,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698807/,2021 Audi Q5,"$63,167 ",Ibis White,PROGRESSIV
40,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698801/,2021 Audi Q5,"$61,957 ",Navarra Blue Metallic,PROGRESSIV
41,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698798/,2021 Audi Q5,"$69,307 ",Daytona Gray Pearl,Technik
42,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698795/,2021 Audi Q5,"$60,417 ",Ibis White,PROGRESSIV
43,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698792/,2021 Audi Q5,"$70,057 ",Mythos Black Metallic,Technik
44,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698789/,2021 Audi A5,"$80,817 ",Quantum Gray/Black Top,Cabriolet Technik
45,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698786/,2021 Audi Q5,"$64,157 ",Mythos Black Metallic,Technik
46,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698783/,2021 Audi Q5,"$60,707 ",Florett Silver Metallic,PROGRESSIV
47,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-rs-6-6698780/,2021 Audi RS 6,"$130,872 ",,Avant
48,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698777/,2021 Audi Q5,"$70,407 ",Glacier White Metallic,Technik
49,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-s6-6698774/,2021 Audi S6,"$111,922 ",Mythos Black Metallic,Sedan
50,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698768/,2021 Audi A5,"$73,207 ",Daytona Gray Pearl/Black Top,Cabriolet Progressiv
51,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698762/,2021 Audi Q5,"$70,807 ",Mythos Black Metallic,Technik
52,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698759/,2021 Audi Q5,"$69,007 ",Glacier White Metallic,Technik
53,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698756/,2021 Audi Q5,"$69,257 ",Mythos Black Metallic,Technik
54,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698753/,2021 Audi Q5,"$61,307 ",Mythos Black Metallic,PROGRESSIV
55,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698750/,2021 Audi Q5,"$63,267 ",Ibis White,Technik
56,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a6-6698744/,2021 Audi A6,"$90,472 ",,Sedan Technik
57,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698741/,2021 Audi Q5,"$68,957 ",Glacier White Metallic,Technik
58,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698738/,2021 Audi Q5,"$61,307 ",Glacier White Metallic,PROGRESSIV
59,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698735/,2021 Audi Q5,"$60,707 ",Mythos Black Metallic,PROGRESSIV
60,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698732/,2021 Audi Q5,"$55,357 ",Florett Silver Metallic,Komfort
61,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698720/,2021 Audi Q5,"$63,267 ",Ibis White,Technik
62,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698711/,2021 Audi Q5,"$66,957 ",Florett Silver Metallic,Technik
63,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698693/,2021 Audi Q7,"$78,122 ",Daytona Grey Pearl Effect,Komfort
64,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698687/,2021 Audi A5,"$82,057 ",Glacier White Metallic/Black Top,Cabriolet Technik
65,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698681/,2021 Audi Q7,"$78,122 ",Orca Black Metallic,Komfort
66,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698669/,2021 Audi Q7,"$78,122 ",Glacier White Metallic,Komfort
67,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698663/,2021 Audi Q5,"$63,407 ",Florett Silver Metallic,PROGRESSIV
68,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q8-6698648/,2021 Audi Q8,"$102,022 ",Daytona Gray Pearl Effect,TECHNIK
69,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a8-6698642/,2021 Audi A8,"$147,422 ",DAYTONA GRAY METALLIC,L
70,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698624/,2021 Audi Q7,"$84,972 ",Florett Silver Metallic,PROGRESSIV
71,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2020-ford-fusion-6698366/,2020 Ford Fusion,"$25,500 ",Red,Hybrid Titanium
72,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2020-ford-fusion-6698351/,2020 Ford Fusion,"$25,800 ",White,Hybrid Titanium
73,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2020-ford-fusion-6698345/,2020 Ford Fusion,"$24,800 ",White,Hybrid Titanium
74,https://www.carpages.ca/new-cars/ontario/leamington/2021-ford-escape-6698330/,2021 Ford Escape,"$42,649 ",White,SEL Hybrid
75,https://www.carpages.ca/new-cars/ontario/kingston/2021-ford-f-150-6697625/,2021 Ford F-150,"$63,574 ",Agate Black Metallic,XLT
76,https://www.carpages.ca/used-cars/british-columbia/port-moody/2015-toyota-prius-6697376/,2015 Toyota Prius,"$14,500 ",Blue,c C
77,https://www.carpages.ca/new-cars/ontario/tillsonburg/2021-ford-f-150-6697172/,2021 Ford F-150,"$58,422 ",Agate Black Metallic,XLT
78,https://www.carpages.ca/new-cars/ontario/tillsonburg/2021-ford-f-250-6697136/,2021 Ford F-250,"$62,767 ",Oxford White,Super Duty SRW XLT
79,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-150-6697109/,2021 Ford F-150,"$74,140 ",Oxford White,Lariat
80,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-150-6697106/,2021 Ford F-150,"$60,654 ",Iconic Silver Metallic,XLT
81,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-150-6697100/,2021 Ford F-150,"$54,734 ",Oxford White,XLT
82,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-150-6697085/,2021 Ford F-150,"$80,335 ",Carbonized Grey Metallic,Lariat
83,https://www.carpages.ca/new-cars/ontario/thornhill/2021-ford-f-150-6696986/,2021 Ford F-150,"$74,510 ",Antimatter Blue,Lariat
84,https://www.carpages.ca/used-cars/ontario/thornhill/2015-ford-focus-6696950/,2015 Ford Focus,"$12,488 ",White,SE
85,https://www.carpages.ca/new-cars/ontario/niagara-falls/2021-ford-escape-6696182/,2021 Ford Escape,"$41,748 ",Velocity Blue Metallic,SEL Hybrid
86,https://www.carpages.ca/new-cars/ontario/niagara-falls/2021-ford-escape-6696173/,2021 Ford Escape,"$39,148 ",Carbonized Grey Metallic,SEL Hybrid
87,https://www.carpages.ca/new-cars/ontario/niagara-falls/2021-ford-escape-6696170/,2021 Ford Escape,"$42,498 ",Yellow,SEL Hybrid
88,https://www.carpages.ca/new-cars/ontario/niagara-falls/2021-ford-f-350-6696161/,2021 Ford F-350,"$64,788 ",Blue,Super Duty SRW XLT
89,https://www.carpages.ca/used-cars/quebec/st-eustache/2019-hyundai-kona-6695777/,2019 Hyundai KONA,"$31,988 ",Gris,Electric PREFERRED **AUTONOMIE 400 KM**
90,https://www.carpages.ca/used-cars/quebec/quebec/2019-hyundai-ioniq-6695477/,2019 Hyundai IONIQ,"$22,968 ",Blanc,Electric **ULTIMATE * GPS * CUIR * VOLANT CHANUFF
91,https://www.carpages.ca/new-cars/ontario/kemptville/2021-chevrolet-bolt-6694424/,2021 Chevrolet Bolt,"$52,291 ",Summit WHT,EV Premier  - SIriusXM
92,https://www.carpages.ca/new-cars/ontario/orleans/2021-chevrolet-bolt-6694319/,2021 Chevrolet Bolt,"$49,176 ",Summit WHT,EV LT
93,https://www.carpages.ca/used-cars/ontario/north-york/2016-tesla-model-s-6694016/,2016 Tesla Model S,"$57,995 ",Dark Blue,75D|AUTOPILOT|HIFI|NAV|PANOROOF|ALLHEATEDSEATS|+++
94,https://www.carpages.ca/used-cars/british-columbia/burnaby/2015-toyota-prius-6693932/,2015 Toyota Prius,"$14,378 ",White,c eCVT
95,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-elantra-6693749/,2021 Hyundai Elantra,"$29,908 ",Electric Shadow,Hybrid Ultimate DCT  - $172 B/W
96,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-elantra-6693746/,2021 Hyundai Elantra,"$29,594 ",Cyber Gry,Hybrid Ultimate w/Two-Tone Interior DCT  - $170 B/W
97,https://www.carpages.ca/new-cars/saskatchewan/paradise-hill/2021-ford-f-150-6693509/,2021 Ford F-150,"$86,825 ",Agate Black,Platinum  - Sunroof
98,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-ford-escape-6693110/,2021 Ford Escape,"$44,559 ",Carbonized Grey Metallic,Titanium Hybrid 400A | TITANIUM ELITE PKG | PANO ROOF
99,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701090/,2021 Ford Escape,"$43,999 ",Black,Titanium Hybrid
100,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701072/,2021 Ford Escape,"$43,649 ",White,Titanium Hybrid
101,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-explorer-6701069/,2021 Ford Explorer,"$58,999 ",White,LIMITED
102,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700598/,2021 Lexus UX,"$51,145 ",Silver,250H
103,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700595/,2021 Lexus UX,"$47,645 ",Green,250H
104,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ford-escape-6700430/,2021 Ford Escape,"$45,449 ",Red,Titanium Hybrid
105,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2020-hyundai-ioniq-hybrid-6700403/,2020 Hyundai Ioniq Hybrid,"$27,439 ",Red,ESSENTIAL
106,https://www.carpages.ca/used-cars/ontario/beamsville/2017-chevrolet-volt-6700340/,2017 Chevrolet Volt,"$17,995 ",Blue,Premier
107,https://www.carpages.ca/used-cars/ontario/beamsville/2017-hyundai-ioniq-6700322/,2017 Hyundai IONIQ,"$19,995 ",White,Limited
108,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-volt-6700313/,2019 Chevrolet Volt,"$28,995 ",Silver,LT
109,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-bolt-6700310/,2019 Chevrolet Bolt,"$33,995 ",Green,LT
110,https://www.carpages.ca/used-cars/ontario/bolton/2016-toyota-camry-6700274/,2016 Toyota Camry,"$16,499 ",Burgundy,Hybrid SE|Heated seats|Camera|Power leather seats|
111,https://www.carpages.ca/used-cars/british-columbia/surrey/2014-nissan-leaf-6699332/,2014 Nissan Leaf,"$13,995 ",Red,"S, accident free"
112,https://www.carpages.ca/used-cars/ontario/harriston/2017-ford-c-max-6699155/,2017 Ford C-MAX,"$16,500 ",Gold,SE
113,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-f-150-6699125/,2021 Ford F-150,"$95,024 ",Star White Tri-Coat,Limited  - Leather Seats
114,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-escape-6699122/,2021 Ford Escape,"$42,548 ",Carbonized Grey Metallic,SEL Hybrid AWD
115,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ram-1500-6698972/,2021 RAM 1500,"$90,372 ",Ivory Tri-Coat Pearl,Longhorn  - Sunroof
116,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-rs-7-6698876/,2021 Audi RS 7,"$150,722 ",Nardo Gray,Audi Winnipeg
117,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698873/,2021 Audi Q5,"$68,717 ",Ibis White,Technik
118,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698870/,2021 Audi Q5,"$64,157 ",Florett Silver Metallic,Technik
119,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698867/,2021 Audi Q5,"$69,607 ",Mythos Black Metallic,Technik
120,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698864/,2021 Audi Q5,"$70,057 ",Glacier White Metallic,Technik
121,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698861/,2021 Audi Q5,"$69,607 ",Mythos Black Metallic,Technik
122,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698855/,2021 Audi Q5,"$70,057 ",Mythos Black Metallic,Technik
123,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698852/,2021 Audi Q5,"$68,957 ",Daytona Gray Pearl,Technik
124,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698846/,2021 Audi Q5,"$64,157 ",Glacier White Metallic,Technik
125,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698843/,2021 Audi Q5,"$69,007 ",Mythos Black Metallic,Technik
126,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698840/,2021 Audi Q5,"$70,807 ",Mythos Black Metallic,Technik
127,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698837/,2021 Audi Q5,"$69,607 ",Florett Silver Metallic,Technik
128,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698834/,2021 Audi Q5,"$60,707 ",Glacier White Metallic,PROGRESSIV
129,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698831/,2021 Audi Q5,"$61,807 ",Florett Silver Metallic,PROGRESSIV
130,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698828/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
131,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698825/,2021 Audi Q5,"$63,057 ",Navarra Blue Metallic,PROGRESSIV
132,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698822/,2021 Audi Q5,"$68,717 ",Ibis White,Technik
133,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698819/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
134,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698816/,2021 Audi Q5,"$69,607 ",Glacier White Metallic,Technik
135,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698813/,2021 Audi Q7,"$83,422 ",Glacier White Metallic,PROGRESSIV
136,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q8-6698810/,2021 Audi Q8,"$99,222 ",Florett Silver Metallic,TECHNIK
137,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698807/,2021 Audi Q5,"$63,167 ",Ibis White,PROGRESSIV
138,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698801/,2021 Audi Q5,"$61,957 ",Navarra Blue Metallic,PROGRESSIV
139,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698798/,2021 Audi Q5,"$69,307 ",Daytona Gray Pearl,Technik
140,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698795/,2021 Audi Q5,"$60,417 ",Ibis White,PROGRESSIV
141,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698792/,2021 Audi Q5,"$70,057 ",Mythos Black Metallic,Technik
142,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698789/,2021 Audi A5,"$80,817 ",Quantum Gray/Black Top,Cabriolet Technik
143,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698786/,2021 Audi Q5,"$64,157 ",Mythos Black Metallic,Technik
144,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698783/,2021 Audi Q5,"$60,707 ",Florett Silver Metallic,PROGRESSIV
145,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-rs-6-6698780/,2021 Audi RS 6,"$130,872 ",,Avant
146,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698777/,2021 Audi Q5,"$70,407 ",Glacier White Metallic,Technik
147,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-s6-6698774/,2021 Audi S6,"$111,922 ",Mythos Black Metallic,Sedan
148,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698768/,2021 Audi A5,"$73,207 ",Daytona Gray Pearl/Black Top,Cabriolet Progressiv
149,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698762/,2021 Audi Q5,"$70,807 ",Mythos Black Metallic,Technik
150,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698759/,2021 Audi Q5,"$69,007 ",Glacier White Metallic,Technik
151,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698756/,2021 Audi Q5,"$69,257 ",Mythos Black Metallic,Technik
152,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698753/,2021 Audi Q5,"$61,307 ",Mythos Black Metallic,PROGRESSIV
153,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698750/,2021 Audi Q5,"$63,267 ",Ibis White,Technik
154,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a6-6698744/,2021 Audi A6,"$90,472 ",,Sedan Technik
155,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698741/,2021 Audi Q5,"$68,957 ",Glacier White Metallic,Technik
156,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698738/,2021 Audi Q5,"$61,307 ",Glacier White Metallic,PROGRESSIV
157,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698735/,2021 Audi Q5,"$60,707 ",Mythos Black Metallic,PROGRESSIV
158,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698732/,2021 Audi Q5,"$55,357 ",Florett Silver Metallic,Komfort
159,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698720/,2021 Audi Q5,"$63,267 ",Ibis White,Technik
160,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698711/,2021 Audi Q5,"$66,957 ",Florett Silver Metallic,Technik
161,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698693/,2021 Audi Q7,"$78,122 ",Daytona Grey Pearl Effect,Komfort
162,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-a5-6698687/,2021 Audi A5,"$82,057 ",Glacier White Metallic/Black Top,Cabriolet Technik
163,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698681/,2021 Audi Q7,"$78,122 ",Orca Black Metallic,Komfort
164,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q7-6698669/,2021 Audi Q7,"$78,122 ",Glacier White Metallic,Komfort
165,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-q5-6698663/,2021 Audi Q5,"$63,407 ",Florett Silver Metallic,PROGRESSIV
